timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829080,cc:ba:97:e1:36:0e,-70,ESP32_59682740,422,1996,1443,EXPOSURE
1753829113,cc:ba:97:e1:36:0e,-69,ESP32_57232647,422,2029,1443,EXPOSURE
1753829125,cc:ba:97:e1:36:0e,-62,ESP32_04392096,422,2041,1443,EXPOSURE
1753829144,cc:ba:97:e1:36:0e,-62,ESP32_24462618,422,2060,1443,EXPOSURE
1753829144,f0:1a:a0:9d:e5:54,-72,ESP32_24462618,422,1887,0,NORMAL
1753829163,cc:ba:97:e1:36:0e,-61,ESP32_54424253,422,2079,1443,EXPOSURE
1753829188,cc:ba:97:e1:36:0e,-62,ESP32_28308242,532,2104,1443,EXPOSURE
1753829206,cc:ba:97:e1:36:0e,-62,ESP32_80761867,532,2122,1443,EXPOSURE
1753829225,cc:ba:97:e1:36:0e,-60,ESP32_66557513,532,2141,1443,EXPOSURE
1753829243,cc:ba:97:e1:36:0e,-62,ESP32_70186283,532,2159,1461,EXPOSURE
1753829243,fb:38:a9:eb:98:25,-95,ESP32_70186283,532,0,0,NORMAL
1753829261,cc:ba:97:e1:36:0e,-62,ESP32_38733225,532,2177,1461,EXPOSURE
1753829287,cc:ba:97:e1:36:0e,-60,ESP32_82587206,482,2203,1461,EXPOSURE
1753829305,cc:ba:97:e1:36:0e,-62,ESP32_60269306,482,2221,1479,EXPOSURE
1753829324,cc:ba:97:e1:36:0e,-60,ESP32_64578034,482,2240,1479,EXPOSURE
1753829324,f0:1a:a0:6e:99:f0,-94,ESP32_64578034,482,0,0,NORMAL
1753829344,cc:ba:97:e1:36:0e,-59,ESP32_37788318,482,2260,1499,EXPOSURE
1753829362,6a:11:cb:ed:11:1c,-83,ESP32_56128880,482,0,0,NORMAL
1753829362,cc:ba:97:e1:36:0e,-62,ESP32_56128880,482,2278,1517,EXPOSURE
1753829387,cc:ba:97:e1:36:0e,-60,ESP32_10139159,453,2303,1517,EXPOSURE
1753829408,cc:ba:97:e1:36:0e,-61,ESP32_25519914,453,2324,1538,EXPOSURE
1753829425,cc:ba:97:e1:36:0e,-61,ESP32_80761867,453,2341,1538,EXPOSURE
1753829443,cc:ba:97:e1:36:0e,-62,ESP32_92052672,453,2359,1538,EXPOSURE
1753829443,f0:1a:a0:9d:e9:10,-74,ESP32_92052672,453,2204,0,NORMAL
1753829464,cc:ba:97:e1:36:0e,-70,ESP32_64146607,453,2380,1538,EXPOSURE
