timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829488,cc:ba:97:e1:36:0e,-75,ESP32_22678078,652,2404,1538,EXPOSURE,7
1753829507,cc:ba:97:e1:36:0e,-74,ESP32_34537863,652,2423,1538,EXPOSURE,7
1753829525,cc:ba:97:e1:36:0e,-70,ESP32_22353113,652,2441,1538,EXPOSURE,7
1753829544,cc:ba:97:e1:36:0e,-74,ESP32_56912409,652,2460,1538,EXPOSURE,7
1753829562,cc:ba:97:e1:36:0e,-74,ESP32_92804283,652,2478,1538,EXPOSURE,7
1753829590,cc:ba:97:e1:36:0e,-70,ESP32_36480976,613,2506,1538,EXPOSURE,7
1753829607,cc:ba:97:e1:36:0e,-64,ESP32_56044854,613,2523,1538,EXPOSURE,7
1753829626,cc:ba:97:e1:36:0e,-64,ESP32_14528969,613,2542,1538,EXPOSURE,7
1753829644,cc:ba:97:e1:36:0e,-72,ESP32_96775395,613,2560,1538,EXPOSURE,7
1753829663,cc:ba:97:e1:36:0e,-79,ESP32_82652871,613,2579,1538,EXPOSURE,7
1753829688,2f:48:8d:96:6a:6a,-70,ESP32_44945743,143,0,0,NORMAL,7
1753829688,cc:ba:97:e1:36:0e,-75,ESP32_44945743,143,2604,1538,EXPOSURE,7
1753829707,cc:ba:97:e1:36:0e,-70,ESP32_20312702,143,2623,1538,EXPOSURE,7
1753829726,cc:ba:97:e1:36:0e,-65,ESP32_32457042,143,2642,1538,EXPOSURE,7
1753829744,cc:ba:97:e1:36:0e,-69,ESP32_04392096,143,2660,1538,EXPOSURE,7
1753829763,cc:ba:97:e1:36:0e,-70,ESP32_51084258,143,2679,1538,EXPOSURE,7
1753829788,cc:ba:97:e1:36:0e,-69,ESP32_56128880,432,2704,1538,EXPOSURE,7
1753829788,fb:38:a9:eb:98:25,-93,ESP32_56128880,432,0,0,NORMAL,7
1753829807,cc:ba:97:e1:36:0e,-74,ESP32_95440879,432,2723,1538,EXPOSURE,7
1753829825,cc:ba:97:e1:36:0e,-64,ESP32_98913776,432,2741,1538,EXPOSURE,7
1753829844,cc:ba:97:e1:36:0e,-75,ESP32_82587206,432,2760,1538,EXPOSURE,7
1753829862,cc:ba:97:e1:36:0e,-73,ESP32_68242182,432,2778,1538,EXPOSURE,7
1753829862,cc:ba:97:e1:36:0e,-65,ESP32_32457042,432,2784,1538,EXPOSURE,7
1753829744,cc:ba:97:e1:36:0e,-69,ESP32_04392096,589,2792,1538,EXPOSURE,7
1753829763,cc:ba:97:e1:36:0e,-71,ESP32_51084258,589,2809,1538,EXPOSURE,7
1753829788,cc:ba:97:e1:36:0e,-67,ESP32_56128880,589,2824,1538,EXPOSURE,7
1753829788,fb:38:a9:eb:98:25,-93,ESP32_56128880,589,0,0,NORMAL,7
1753829807,cc:ba:97:e1:36:0e,-74,ESP32_95440879,589,2842,1538,EXPOSURE,7
1753829825,cc:ba:97:e1:36:0e,-65,ESP32_98913776,607,2861,1538,EXPOSURE,7
1753829844,cc:ba:97:e1:36:0e,-73,ESP32_82587206,607,2879,1538,EXPOSURE,7
1753829862,cc:ba:97:e1:36:0e,-71,ESP32_68242182,607,2894,1538,EXPOSURE,7



1753830688,cc:ba:97:e1:36:0e,-72,ESP32_56979278,242,3604,1538,EXPOSURE,10
