timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829471,cc:ba:97:e2:ae:b6,-64,ESP32_25159623,613,0,0,NORMAL,7
1753829487,cc:ba:97:e2:ae:b6,-73,ESP32_16344608,613,23,0,NORMAL,7
1753829505,cc:ba:97:e2:ae:b6,-75,ESP32_60033123,613,41,0,NORMAL,7
1753829523,cc:ba:97:e2:ae:b6,-72,ESP32_54173841,613,59,0,NORMAL,7
1753829542,cc:ba:97:e2:ae:b6,-68,ESP32_00412041,613,78,0,NORMAL,7
1753829552,cc:ba:97:e2:ae:b6,-63,ESP32_10412042,613,91,0,NORMAL,7
1753829568,cc:ba:97:e2:ae:b6,-81,ESP32_74640925,1602,104,0,NORMAL,7
1753829586,cc:ba:97:e2:ae:b6,-81,ESP32_28482001,1602,122,0,NORMAL,7
1753829604,cc:ba:97:e2:ae:b6,-66,ESP32_04027623,1602,140,0,NORMAL,7
1753829623,cc:ba:97:e2:ae:b6,-70,ESP32_34329154,1602,159,0,NORMAL,7
1753829642,cc:ba:97:e2:ae:b6,-74,ESP32_28453895,1602,178,0,NORMAL,7
1753829668,cc:ba:97:e2:ae:b6,-69,ESP32_86859024,1752,204,0,NORMAL,7
1753829686,cc:ba:97:e2:ae:b6,-76,ESP32_80839638,1752,222,0,NORMAL,7
1753829705,cc:ba:97:e2:ae:b6,-66,ESP32_44923438,1752,241,0,NORMAL,7
1753829723,cc:ba:97:e2:ae:b6,-83,ESP32_18599448,1752,259,0,NORMAL,7
1753829742,cc:ba:97:e2:ae:b6,-75,ESP32_04278035,1752,278,0,NORMAL,7
1753829766,cc:ba:97:e2:ae:b6,-75,ESP32_30631412,542,302,0,NORMAL,7
1753829785,cc:ba:97:e2:ae:b6,-76,ESP32_06963326,542,321,0,NORMAL,7
1753829803,cc:ba:97:e2:ae:b6,-75,ESP32_64592742,542,339,0,NORMAL,7
1753829821,cc:ba:97:e2:ae:b6,-76,ESP32_86819024,542,357,0,NORMAL,7
1753829840,cc:ba:97:e2:ae:b6,-77,ESP32_34610388,542,376,0,NORMAL,7
1753829868,cc:ba:97:e2:ae:b6,-68,ESP32_74610925,1602,394,0,NORMAL,7
1753829876,cc:ba:97:e2:ae:b6,-75,ESP32_31621412,542,302,0,NORMAL,7
1753829885,cc:ba:97:e2:ae:b6,-76,ESP32_02913326,542,321,0,NORMAL,7
1753829903,cc:ba:97:e2:ae:b6,-75,ESP32_14532742,542,339,0,NORMAL,7
1753829921,cc:ba:97:e2:ae:b6,-76,ESP32_36259024,542,357,0,NORMAL,7
1753829940,cc:ba:97:e2:ae:b6,-77,ESP32_44150388,542,376,0,NORMAL,7
