timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753827359,cc:ba:97:e2:ae:b6,-59,ESP32_21651906,583,0,0,NORMAL
1753827370,cc:ba:97:e2:ae:b6,-52,ESP32_13621903,583,18,18,NORMAL
1753827380,cc:ba:97:e2:ae:b6,-57,ESP32_15523901,583,38,38,NORMAL
1753827390,cc:ba:97:e2:ae:b6,-51,ESP32_34651502,583,55,55,NORMAL
1753827419,cc:ba:97:e2:ae:b6,-48,ESP32_11621306,583,79,79,NORMAL
1753827460,cc:ba:97:e2:ae:b6,-52,ESP32_14621926,583,95,95,NORMAL
1753827481,cc:ba:97:e2:ae:b6,-55,ESP32_10296460,583,111,111,NORMAL
1753827581,cc:ba:97:e2:ae:b6,-79,ESP32_30596460,583,129,111,NORMAL
1753827598,cc:ba:97:e2:ae:b6,-53,ESP32_68111443,583,137,129,NORMAL
1753827617,cc:ba:97:e2:ae:b6,-55,ESP32_42858865,583,153,138,NORMAL
1753827635,cc:ba:97:e2:ae:b6,-54,ESP32_04617291,583,165,151,NORMAL
1753827635,cc:ba:97:e2:ae:b6,-52,ESP32_04691391,583,171,168,NORMAL
1753827660,cc:ba:97:e2:ae:b6,-47,ESP32_80089040,413,196,183,NORMAL
1753827678,cc:ba:97:e2:ae:b6,-46,ESP32_82632871,413,214,201,NORMAL
1753827678,cc:ba:97:e2:ae:b6,-73,ESP32_82152871,413,223,201,NORMAL
1753827697,cc:ba:97:e2:ae:b6,-54,ESP32_81558892,413,233,218,NORMAL
1753827716,cc:ba:97:e2:ae:b6,-47,ESP32_03098217,413,252,230,NORMAL
1753827738,cc:ba:97:e2:ae:b6,-55,ESP32_93320889,413,274,249,NORMAL
1753827751,cc:ba:97:e2:ae:b6,-46,ESP32_30883014,572,297,261,NORMAL
1753827760,cc:ba:97:e2:ae:b6,-54,ESP32_80761867,572,316,284,EXPOSURE
1753827798,cc:ba:97:e2:ae:b6,-46,ESP32_56044854,572,334,301,EXPOSURE
1753827819,cc:ba:97:e2:ae:b6,-55,ESP32_67562041,572,355,322,EXPOSURE
1753827836,cc:ba:97:e2:ae:b6,-48,ESP32_04392096,572,372,341,EXPOSURE
1753827961,cc:ba:97:e2:ae:b6,-46,ESP32_12843011,732,391,359,EXPOSURE
1753827979,cc:ba:97:e2:ae:b6,-59,ESP32_83961863,732,409,373,EXPOSURE
1753827980,cc:ba:97:e2:ae:b6,-64,ESP32_40762827,732,431,373,NORMAL
1753827998,cc:ba:97:e2:ae:b6,-46,ESP32_55023854,732,452,392,EXPOSURE
1753828819,cc:ba:97:e2:ae:b6,-55,ESP32_51562023,732,475,409,EXPOSURE
1753828836,cc:ba:97:e2:ae:b6,-48,ESP32_24392076,732,498,417,EXPOSURE
