timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829080,cc:ba:97:e1:36:0e,-70,ESP32_59682740,422,0,0,NORMAL
1753829113,cc:ba:97:e1:36:0e,-69,ESP32_57232647,422,19,0,NORMAL
1753829125,cc:ba:97:e1:36:0e,-62,ESP32_04392096,422,41,0,NORMAL
1753829134,cc:ba:97:e1:36:0e,-62,ESP32_24365618,422,60,0,NORMAL
1753829144,cc:ba:97:e1:36:0e,-72,ESP32_21462618,422,87,0,NORMAL
1753829163,cc:ba:97:e1:36:0e,-61,ESP32_54424253,422,99,0,NORMAL
1753829188,cc:ba:97:e1:36:0e,-62,ESP32_28308242,532,104,0,NORMAL
1753829206,cc:ba:97:e1:36:0e,-62,ESP32_80761867,532,122,0,NORMAL
1753829225,cc:ba:97:e1:36:0e,-60,ESP32_66557513,532,141,19,NORMAL
1753829233,cc:ba:97:e1:36:0e,-62,ESP32_72126283,532,159,19,NORMAL
1753829243,cc:ba:97:e1:36:0e,-95,ESP32_70186183,532,172,19,NORMAL
1753829261,cc:ba:97:e1:36:0e,-62,ESP32_38733225,532,189,19,NORMAL
1753829287,cc:ba:97:e1:36:0e,-56,ESP32_82587206,482,203,38,NORMAL
1753829305,cc:ba:97:e1:36:0e,-62,ESP32_60269306,482,221,38,NORMAL
1753829314,cc:ba:97:e1:36:0e,-60,ESP32_14568831,482,238,56,NORMAL
1753829324,cc:ba:97:e1:36:0e,-94,ESP32_64578094,482,250,56,NORMAL
1753829344,cc:ba:97:e1:36:0e,-59,ESP32_37788318,482,260,75,NORMAL
1753829362,cc:ba:97:e1:36:0e,-62,ESP32_56128880,482,278,75,NORMAL
1753829387,cc:ba:97:e1:36:0e,-65,ESP32_10139159,453,303,75,EXPOSURE
1753829408,cc:ba:97:e1:36:0e,-61,ESP32_25519914,453,324,75,NORMAL
1753829425,cc:ba:97:e1:36:0e,-59,ESP32_83761867,453,341,96,EXPOSURE
1753829433,cc:ba:97:e1:36:0e,-62,ESP32_92455652,453,359,96,NORMAL
1753829443,cc:ba:97:e1:36:0e,-74,ESP32_22052671,453,374,96,NORMAL
1753829464,cc:ba:97:e1:36:0e,-70,ESP32_14146607,453,390,96,NORMAL
1753829508,cc:ba:97:e1:36:0e,-61,ESP32_25519911,398,414,96,NORMAL
1753829525,cc:ba:97:e1:36:0e,-59,ESP32_81711867,398,431,105,EXPOSURE
1753829533,cc:ba:97:e1:36:0e,-62,ESP32_12022672,398,459,105,NORMAL
1753829543,cc:ba:97:e1:36:0e,-74,ESP32_92152672,398,474,105,NORMAL
1753829564,cc:ba:97:e1:36:0e,-70,ESP32_64146607,398,490,105,NORMAL
