timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753828682,cc:ba:97:e1:36:0e,-55,ESP32_04198268,451,0,0,NORMAL
1753828700,cc:ba:97:e1:36:0e,-54,ESP32_40557654,451,20,20,NORMAL
1753828719,cc:ba:97:e1:36:0e,-65,ESP32_04043685,451,35,20,NORMAL
1753828737,cc:ba:97:e1:36:0e,-76,ESP32_66146472,451,53,20,NORMAL
1753828755,cc:ba:97:e1:36:0e,-60,ESP32_80761867,451,71,39,NORMAL
1753828780,cc:ba:97:e1:36:0e,-61,ESP32_79588355,1752,96,39,NORMAL
1753828800,cc:ba:97:e1:36:0e,-64,ESP32_00802271,1752,116,39,NORMAL
1753828818,cc:ba:97:e1:36:0e,-61,ESP32_64647125,1752,134,39,NORMAL
1753828836,cc:ba:97:e1:36:0e,-62,ESP32_52259402,1752,152,39,NORMAL
1753828855,cc:ba:97:e1:36:0e,-61,ESP32_42774026,1752,171,39,NORMAL
1753828880,cc:ba:97:e1:36:0e,-64,ESP32_38143356,562,196,39,NORMAL
1753828899,cc:ba:97:e1:36:0e,-63,ESP32_56838771,562,215,39,NORMAL
1753828917,cc:ba:97:e1:36:0e,-63,ESP32_44923438,562,233,39,NORMAL
1753828935,cc:ba:97:e1:36:0e,-63,ESP32_10257143,562,251,39,NORMAL
1753828956,cc:ba:97:e1:36:0e,-63,ESP32_15065270,562,272,39,NORMAL
1753828981,cc:ba:97:e1:36:0e,-63,ESP32_12933563,2292,297,39,NORMAL
1753829000,cc:ba:97:e1:36:0e,-60,ESP32_30883014,2292,316,56,EXPOSURE
1753829018,cc:ba:97:e1:36:0e,-62,ESP32_70338895,2292,334,56,NORMAL
1753829037,cc:ba:97:e1:36:0e,-64,ESP32_26344395,2292,353,56,NORMAL
1753829055,cc:ba:97:e1:36:0e,-100,ESP32_43174022,2292,372,56,NORMAL
1753829065,cc:ba:97:e1:36:0e,-64,ESP32_12772066,2292,391,56,NORMAL
1753829090,cc:ba:97:e1:36:0e,-64,ESP32_90802243,2292,411,56,NORMAL
1753829118,cc:ba:97:e1:36:0e,-56,ESP32_62645121,1251,433,77,EXPOSURE
1753829236,cc:ba:97:e1:36:0e,-62,ESP32_51229402,1251,456,77,NORMAL
1753829355,cc:ba:97:e1:36:0e,-59,ESP32_41744026,1251,475,95,EXPOSURE
1753829480,cc:ba:97:e1:36:0e,-64,ESP32_28143356,1251,494,95,NORMAL
1753829599,cc:ba:97:e1:36:0e,-63,ESP32_36821171,1251,512,95,NORMAL
17538295604,cc:ba:97:e1:36:0e,-63,ESP32_46122129,1251,535,95,NORMAL
