timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus,distanceInMeter
1753827064,cc:ba:97:e2:ae:b6,-45,ESP32_30631412,0,0,0,NORMAL,1
1753827082,cc:ba:97:e2:ae:b6,-45,ESP32_86859024,0,18,18,NORMAL,1
1753827100,cc:ba:97:e2:ae:b6,-62,ESP32_54173841,0,36,18,NORMAL,1
1753827119,cc:ba:97:e2:ae:b6,-63,ESP32_16593019,0,42,18,NORMAL,1
1753827119,cc:ba:97:e2:ae:b6,-56,ESP32_16593019,0,55,36,NORMAL,1
1753827137,cc:ba:97:e2:ae:b6,-61,ESP32_18157841,0,73,36,NORMAL,1
1753827164,cc:ba:97:e2:ae:b6,-64,ESP32_97465500,662,100,36,NORMAL,1
1753827181,cc:ba:97:e2:ae:b6,-45,ESP32_26686662,662,117,54,NORMAL,1
1753827199,cc:ba:97:e2:ae:b6,-62,ESP32_70512256,662,135,54,NORMAL,1
1753827218,cc:ba:97:e2:ae:b6,-53,ESP32_72318221,662,142,72,NORMAL,1
1753827218,cc:ba:97:e2:ae:b6,-59,ESP32_11388620,662,154,91,NORMAL,1
1753827237,cc:ba:97:e2:ae:b6,-61,ESP32_84555811,662,173,91,NORMAL,1
1753827237,cc:ba:97:e2:ae:b6,-98,ESP32_81558692,662,181,91,NORMAL,1
1753827261,cc:ba:97:e2:ae:b6,-60,ESP32_82652871,472,197,110,NORMAL,1
1753827280,cc:ba:97:e2:ae:b6,-55,ESP32_68237484,472,216,130,NORMAL,1
1753827300,cc:ba:97:e2:ae:b6,-47,ESP32_96746023,472,236,148,NORMAL,1
1753827318,cc:ba:97:e2:ae:b6,-45,ESP32_66146472,472,254,168,NORMAL,1
1753826935,cc:ba:97:e2:ae:b6,-47,ESP32_34372383,10334,260,182,NORMAL,1
1753826953,cc:ba:97:e2:ae:b6,-57,ESP32_86296977,10334,278,199,NORMAL,1
1753827380,cc:ba:97:e2:ae:b6,-61,ESP32_78438409,432,316,199,NORMAL,1
1753827398,cc:ba:97:e2:ae:b6,-63,ESP32_92078844,432,334,199,NORMAL,1
1753827417,cc:ba:97:e2:ae:b6,-46,ESP32_37942305,432,353,210,EXPOSURE,1
1753827435,cc:ba:97:e2:ae:b6,-46,ESP32_58449605,432,371,228,EXPOSURE,1
1753827460,cc:ba:97:e2:ae:b6,-52,ESP32_76962031,582,396,253,EXPOSURE,1
1753827470,cc:ba:97:e2:ae:b6,-59,ESP32_10631351,582,416,271,EXPOSURE,1
1753827480,cc:ba:97:e2:ae:b6,-89,ESP32_93431324,582,424,271,NORMAL,1
1753827488,cc:ba:97:e2:ae:b6,-48,ESP32_64892011,582,428,290,EXPOSURE,1
1753827498,cc:ba:97:e2:ae:b6,-57,ESP32_64892011,582,434,308,EXPOSURE,1
1753827517,cc:ba:97:e2:ae:b6,-59,ESP32_62181906,582,453,319,EXPOSURE,1
1753827535,cc:ba:97:e2:ae:b6,-60,ESP32_20312702,582,471,338,EXPOSURE,1
1753828258,cc:ba:97:e2:ae:b6,-50,ESP32_38194764,633,0,0,NORMAL,2
1753828258,cc:ba:97:e2:ae:b6,-73,ESP32_18994727,633,17,0,NORMAL,2
1753828297,cc:ba:97:e2:ae:b6,-56,ESP32_01952001,633,33,13,NORMAL,2
1753828315,cc:ba:97:e2:ae:b6,-56,ESP32_82652871,633,51,27,NORMAL,2
1753828335,cc:ba:97:e2:ae:b6,-59,ESP32_94396759,633,71,41,NORMAL,2
1753828359,cc:ba:97:e2:ae:b6,-61,ESP32_04043685,342,95,41,NORMAL,2
1753828377,cc:ba:97:e2:ae:b6,-60,ESP32_56862405,342,113,56,NORMAL,2
