timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus,distanceInMeter
1753827359,cc:ba:97:e2:ae:b6,-59,ESP32_21651906,583,0,0,NORMAL,1
1753827370,cc:ba:97:e2:ae:b6,-52,ESP32_13621903,583,18,18,NORMAL,1
1753827380,cc:ba:97:e2:ae:b6,-57,ESP32_15523901,583,38,38,NORMAL,1
1753827390,cc:ba:97:e2:ae:b6,-51,ESP32_34651502,583,55,55,NORMAL,1
1753827419,cc:ba:97:e2:ae:b6,-48,ESP32_11621306,583,79,79,NORMAL,1
1753827460,cc:ba:97:e2:ae:b6,-52,ESP32_14621926,583,95,95,NORMAL,1
1753827481,cc:ba:97:e2:ae:b6,-55,ESP32_10296460,583,111,111,NORMAL,1
1753827581,cc:ba:97:e2:ae:b6,-79,ESP32_30596460,583,129,111,NORMAL,1
1753827598,cc:ba:97:e2:ae:b6,-53,ESP32_68111443,583,137,129,NORMAL,1
1753827617,cc:ba:97:e2:ae:b6,-55,ESP32_42858865,583,153,138,NORMAL,1
1753827635,cc:ba:97:e2:ae:b6,-54,ESP32_04617291,583,165,151,NORMAL,1
1753827635,cc:ba:97:e2:ae:b6,-52,ESP32_04691391,583,171,168,NORMAL,1
1753827660,cc:ba:97:e2:ae:b6,-47,ESP32_80089040,413,196,183,NORMAL,1
1753827678,cc:ba:97:e2:ae:b6,-46,ESP32_82632871,413,214,201,NORMAL,1
1753827678,cc:ba:97:e2:ae:b6,-73,ESP32_82152871,413,223,201,NORMAL,1
1753827697,cc:ba:97:e2:ae:b6,-54,ESP32_81558892,413,233,218,NORMAL,1
1753827716,cc:ba:97:e2:ae:b6,-47,ESP32_03098217,413,252,230,NORMAL,1
1753827738,cc:ba:97:e2:ae:b6,-55,ESP32_93320889,413,274,249,NORMAL,1
1753827751,cc:ba:97:e2:ae:b6,-46,ESP32_30883014,572,297,261,NORMAL,1
1753827760,cc:ba:97:e2:ae:b6,-54,ESP32_80761867,572,316,284,NORMAL,1
1753827798,cc:ba:97:e2:ae:b6,-46,ESP32_56044854,572,334,301,EXPOSURE,1
1753827819,cc:ba:97:e2:ae:b6,-55,ESP32_67562041,572,355,322,EXPOSURE,1
1753827836,cc:ba:97:e2:ae:b6,-48,ESP32_04392096,572,372,341,EXPOSURE,1
1753827961,cc:ba:97:e2:ae:b6,-46,ESP32_12843011,732,391,359,EXPOSURE,1
1753827979,cc:ba:97:e2:ae:b6,-59,ESP32_83961863,732,409,373,EXPOSURE,1
1753827980,cc:ba:97:e2:ae:b6,-64,ESP32_40762827,732,431,373,NORMAL,1
1753827998,cc:ba:97:e2:ae:b6,-46,ESP32_55023854,732,452,392,EXPOSURE,1
1753828819,cc:ba:97:e2:ae:b6,-55,ESP32_51562023,732,475,409,EXPOSURE,1
1753828836,cc:ba:97:e2:ae:b6,-48,ESP32_24392076,732,498,417,EXPOSURE,1
1753827851,cc:ba:97:e2:ae:b6,-54,ESP32_41217078,482,0,0,NORMAL,2
1753827861,cc:ba:97:e2:ae:b6,-56,ESP32_41037078,482,19,19,NORMAL,2
1753827880,cc:ba:97:e2:ae:b6,-54,ESP32_02378667,482,36,36,NORMAL,2
1753827898,cc:ba:97:e2:ae:b6,-50,ESP32_22353113,482,54,54,NORMAL,2
1753827916,cc:ba:97:e2:ae:b6,-59,ESP32_82652871,482,72,72,NORMAL,2
1753827935,cc:ba:97:e2:ae:b6,-62,ESP32_28482001,482,91,72,NORMAL,2
1753827959,cc:ba:97:e2:ae:b6,-53,ESP32_06914797,402,115,79,NORMAL,2
1753827978,cc:ba:97:e2:ae:b6,-62,ESP32_88013909,402,134,79,NORMAL,2
1753827997,cc:ba:97:e2:ae:b6,-66,ESP32_79288096,402,153,79,NORMAL,2
1753828015,cc:ba:97:e2:ae:b6,-68,ESP32_18091286,402,171,79,NORMAL,2
1753828023,cc:ba:97:e2:ae:b6,-59,ESP32_16267839,402,199,91,NORMAL,2
1753828033,cc:ba:97:e2:ae:b6,-75,ESP32_11247839,402,211,91,NORMAL,2
1753828059,cc:ba:97:e2:ae:b6,-60,ESP32_84141138,1723,225,103,NORMAL,2
1753828067,cc:ba:97:e2:ae:b6,-70,ESP32_62879266,1723,243,103,NORMAL,2
1753828077,cc:ba:97:e2:ae:b6,-78,ESP32_61879266,1723,269,103,NORMAL,2
1753828096,cc:ba:97:e2:ae:b6,-55,ESP32_98612060,1723,282,121,NORMAL,2
1753828114,cc:ba:97:e2:ae:b6,-53,ESP32_44769182,1723,305,139,EXPOSURE,2
1753828135,cc:ba:97:e2:ae:b6,-56,ESP32_82427624,1723,321,150,EXPOSURE,2
1753828149,cc:ba:97:e2:ae:b6,-57,ESP32_12774025,642,348,168,EXPOSURE,2
1753828159,cc:ba:97:e2:ae:b6,-56,ESP32_44774036,642,365,184,EXPOSURE,2
1753828167,cc:ba:97:e2:ae:b6,-59,ESP32_68479294,642,383,202,EXPOSURE,2
1753828196,cc:ba:97:e2:ae:b6,-56,ESP32_04043685,642,403,221,EXPOSURE,2
1753828214,cc:ba:97:e2:ae:b6,-63,ESP32_19112643,642,420,221,NORMAL,2
1753828219,cc:ba:97:e2:ae:b6,-80,ESP32_36062613,642,441,221,NORMAL,2
1753828233,cc:ba:97:e2:ae:b6,-60,ESP32_44923438,642,469,239,EXPOSURE,2
1753828277,cc:ba:97:e2:ae:b6,-59,ESP32_31475294,787,483,254,EXPOSURE,2
1753828296,cc:ba:97:e2:ae:b6,-56,ESP32_14243685,787,503,273,EXPOSURE,2
1753828314,cc:ba:97:e2:ae:b6,-63,ESP32_16042613,787,520,297,NORMAL,2
1753828316,cc:ba:97:e2:ae:b6,-80,ESP32_46066633,787,541,297,NORMAL,2
1753828333,cc:ba:97:e2:ae:b6,-60,ESP32_64953431,787,559,316,EXPOSURE,2
