timeStamp,peerId,rssi,deviceId,uploadDuration
# Upload Timestamp: 1753816004
timeStamp,peerId,rssi,deviceId,uploadDuration
1753815718,cc:ba:97:e1:36:0e,-41,ESP32_92385396,892
1753815748,cc:ba:97:e1:36:0e,-40,ESP32_68237484,892
1753815778,cc:ba:97:e1:36:0e,-46,ESP32_20312702,892
1753815808,cc:ba:97:e1:36:0e,-68,ESP32_34178354,892
1753815838,cc:ba:97:e1:36:0e,-50,ESP32_36192883,892
1753815882,cc:ba:97:e1:36:0e,-46,ESP32_96956449,892
1753815911,cc:ba:97:e1:36:0e,-46,ESP32_58884512,892
1753815942,cc:ba:97:e1:36:0e,-45,ESP32_12357385,892
1753815973,cc:ba:97:e1:36:0e,-40,ESP32_25013731,892
1753816004,cc:ba:97:e1:36:0e,-44,ESP32_71694369,892
# Upload Timestamp: 1753821883
timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753821775,21:f4:c0:a2:7d:ec,-55,ESP32_24134564,0,0,0,NORMAL
1753821776,cc:ba:97:e1:36:0e,-35,ESP32_24134564,0,0,0,NORMAL
1753821776,fb:38:a9:eb:98:25,-98,ESP32_24134564,0,0,0,NORMAL
1753821783,cc:ba:97:e1:36:0e,-33,ESP32_18091286,0,7,0,NORMAL
1753821817,cc:ba:97:e1:36:0e,-45,ESP32_81811196,0,41,0,NORMAL
1753821818,f0:1a:a0:9d:e5:54,-69,ESP32_81811196,0,0,0,NORMAL
1753821844,cc:ba:97:e1:36:0e,-44,ESP32_86155276,0,68,0,NORMAL
1753821872,cc:ba:97:e1:36:0e,-33,ESP32_94741573,0,96,0,NORMAL
1753821901,cc:ba:97:e1:36:0e,-33,ESP32_38233697,0,125,0,NORMAL
# Upload Timestamp: 1753822033
timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753821936,cc:ba:97:e1:36:0e,-33,ESP32_68237484,583,160,0,NORMAL
1753821965,cc:ba:97:e1:36:0e,-12,ESP32_44923438,583,189,0,NORMAL
1753821993,cc:ba:97:e1:36:0e,-12,ESP32_80584065,583,217,0,NORMAL
1753822022,cc:ba:97:e1:36:0e,-12,ESP32_10121205,583,246,0,NORMAL
1753822051,cc:ba:97:e1:36:0e,-12,ESP32_34178354,583,275,0,NORMAL
# Upload Timestamp: 1753822185
timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753822088,cc:ba:97:e1:36:0e,-12,ESP32_58557143,1142,312,0,EXPOSURE
1753822117,cc:ba:97:e1:36:0e,-12,ESP32_61700289,1142,341,0,EXPOSURE
1753822145,cc:ba:97:e1:36:0e,-12,ESP32_02536905,1142,369,0,EXPOSURE
1753822174,cc:ba:97:e1:36:0e,-12,ESP32_26408875,1142,398,0,EXPOSURE
1753822203,cc:ba:97:e1:36:0e,-12,ESP32_98413953,1142,427,0,EXPOSURE
